phrase,Frequency Level,Rank,Frequency </br> (per million words),Spoken general,Written general,Written academic,Example sentence,,,,,,,
UP TO YOU,4-K,3534,1807,___,___,___,I’ll leave it up to you if that’s all right.,up to you,,,,,,
UP TO ME,4-K,3534,1807,___,___,___,I’ll leave it up to you if that’s all right.,up to me,,,,,,
UP TO DATE,4-K,4319,1268,___,___,___,I try to keep up to date.,up to date,,,,,,
UP TO,2-K,1352,8733,___,___,___,Up to twenty people may be interviewed for the job.,up to,,,,,,
UP TO,3-K,3016,2409,___,___,___,I walked up to the window and paused.,up to,,,,,,
UP AND DOWN,5-K,5134,898,___,___,–,He was up and down the hall worrying about it.,up and down,,,,,,
UNDER WAY,5-K,5022,939,–,___,___,Changes are already under way.,under way,,,,,,
TURN UP,3-K,2734,2865,___,__,–,The money turned up later.,turn up,,,,,,
TURN OUT,3-K,2157,4354,___,___,___,How did it turn out?,turn out,,,,,,
TURN ON,3-K,3113,2266,___,___,__,It won’t turn on.,turn on,,,,,,
TURN INTO,4-K,3265,2072,___,___,__,The idea turned into something amazing.,turn into,,,,,,
TURN DOWN,5-K,5001,951,___,___,–,I won’t turn down such a great offer.,turn down,,,,,,
TURN BACK,5-K,5361,827,__,___,__,There was no turning back now.,turn back,,,,,,
TOUCH OF,5-K,4917,982,___,___,–,There was a touch of sadness in her voice.,touch of,,,,,,
TOO MUCH,2-K,1530,7123,___,___,__,I don’t worry about it too much.,too much,,,,,,
TOO MANY,3-K,2898,2587,___,___,___,"You don’t see too many like that one, I’ll tell you.",too many,,,,,,
TO THE POINT,4-K,4032,1447,___,___,___,It got to the point I couldn’t breathe.  ,to the point,,,,,,
TO THE EXTENT,4-K,4349,1253,–,___,___,He’s interesting to the extent that he knows a lot.,to the extent,,,,,,
TO SOME EXTENT,4-K,3686,1688,___,___,___,It is to some extent what is considered standard.,to some extent,,,,,,
TO DO WITH,2-K,1910,5184,___,__,___,I think it has something to do with physics.,to do with,,,,,,
TO DEATH,4-K,3650,1714,___,___,–,The children were bored to death.,to death,,,,,,
TO DATE,3-K,2888,2600,__,___,___,To date there have been over nine instances.,to date,,,,,,
TO BLAME,5-K,4944,973,___,___,___,"I think the government’s to blame, really.",to blame,,,,,,
THOUGHT OF AS,5-K,4713,1065,___,___,___,Beaches are thought of as vacation spots.,thought of as,,,,,,
THOUGHT OF,5-K,4713,1065,___,___,___,Beaches are thought of as vacation spots.,thought of,,,,,,
THOSE WHO,1-K,913,13951,–,___,___,He would defend those who had no voice.,those who,,,,,,
THIS STAGE,3-K,3152,2223,___,___,___,We can’t at this stage.,this stage,,,,,,
THIRD PARTY,4-K,4250,1307,–,–,___,They work with third party software too.,third party,,,,,,
THINK SO,4-K,3308,2033,___,__,__,Do you think so?,think so,,,,,,
THINK ABOUT,2-K,1517,7243,___,___,–,I’m thinking about changing careers.,think about,,,,,,
THINGS LIKE THAT,5-K,4671,1082,___,__,–,"He does karate and things like that, you see.",things like that,,,,,,
THEY SAY,3-K,2675,2962,___,__,–,They say it tastes like chicken.,they say,,,,,,
THESE DAYS,3-K,2992,2440,___,___,__,It’s what these days the media call ‘viral’.,these days,,,,,,
THERE ARE,1-K,165,59833,___,___,___,There are some problems.,there are,,,,,,
THE WHOLE THING,5-K,4834,1015,___,__,–,Why don’t we just forget the whole thing?,the whole thing,,,,,,
THE SIGHT OF,5-K,4816,1024,__,___,–,I can’t stand the sight of it.,the sight of,,,,,,
THE OUTSET,5-K,4959,963,___,___,___,"It went well, but not at the outset.",the outset,,,,,,
THE OTHER DAY,5-K,4711,1066,___,__,–,I thought of you the other day.,the other day,,,,,,
THE ODD,5-K,4523,1154,___,___,__,I do play the odd jazz tune.,the odd,,,,,,
THE MEANS,4-K,3791,1626,__,___,___,He hasn’t the means to get there.,the means,,,,,,
THE LOT,5-K,5497,789,___,__,–,"They tood the jewellery, the laptops, the lot.",the lot,,,,,,
THE LATTER,2-K,1815,5519,–,___,___,The latter may still be a challenge.,the latter,,,,,,
THE FORMER,4-K,3502,1842,–,___,___,The former can actually require much more money.,the former,,,,,,
THE FOLLOWING,1-K,974,12963,–,__,___,He made the following remarks.,the following,,,,,,
THE EXTENT TO WHICH,4-K,3601,1751,–,__,___,The extent to which the preceding can be asserted is largely dependent on what emerges in the study.,the extent to which,,,,,,
THE CASE,2-K,2022,4794,___,___,___,It’s not the case that I don’t love him.,the case,,,,,,
THE BULK OF,5-K,4950,968,___,___,___,The bulk of it was done by noon.,the bulk of,,,,,,
THE ABOVE,3-K,2879,2608,–,___,___,The above only underscores strength of the data.,the above,,,,,,
THAT WHICH,4-K,3955,1491,–,___,___,You cannot undo that which has already been done.,that which,,,,,,
THAT SORT OF THING,5-K,5309,843,___,–,–,He drinks a lot and that sort of thing.,that sort of thing,,,,,,
THAT MUCH,4-K,3567,1781,___,__,–,I don’t go out that much.,that much,,,,,,
THANKS TO,3-K,3199,2159,___,___,___,And it’s thanks to her research that we know that.,thanks to,,,,,,
TEND TO,2-K,1175,10504,___,___,___,I tend to think it’s actually a political matter.,tend to,,,,,,
TAKE UP,2-K,2038,4717,___,___,_,I don’t wish to take up more time than is necessary.,take up,,,,,,
TAKE PLACE,2-K,1169,10556,___,___,___,No one was sure exactly why it took place there.,take place,,,,,,
TAKE PART IN,3-K,3044,2374,__,___,___,It’s something we all wanted to take part in.,take part in,,,,,,
TAKE OVER,2-K,1843,5394,___,___,___,You can’t just let the kids take over.,take over,,,,,,
TAKE ON,3-K,2124,4451,___,___,__,You’d better think twice before taking on more work.,take on,,,,,,
TAKE OFF,4-K,3388,1957,___,___,__,I was hungry by the time we took off.,take off,,,,,,
TAKE INTO ACCOUNT,3-K,2702,2921,__,___,___,You must also take into account the rush hour.,take into account,,,,,,
TAKE CARE OF,5-K,4791,1034,___,___,___,I’ll take care of this customer.,take care of,,,,,,
TAKE ADVANTAGE,4-K,3396,1949,___,___,___,Some people just want to take advantage.,take advantage,,,,,,
TAKE ACCOUNT OF,4-K,4408,1217,__,___,___,We did not take account of the paperwork.,take account of,,,,,,
SWITCH ON,4-K,3406,1935,___,___,__,It’s plugged in but it won’t switch on.,switch on,,,,,,
SUPPOSED TO,2-K,2086,4586,___,___,___,"I didn’t go, but I was supposed to.",supposed to,,,,,,
SUCH THAT,4-K,4023,1454,__,___,___,It can be developed such that it does not interfere.,such that,,,,,,
SUCH AS,1-K,415,30857,__,___,___,"We have questions, such as how it happened.",such as,,,,,,_
SUCH A,1-K,551,23894,___,___,__,She had such a strange sense of humor. ,such a,,,,,,
SUBJECT TO,2-K,1900,5218,–,__,___,All baggage is subject to inspection.,subject to,,,,,,
STRAIGHT AWAY,5-K,5479,794,___,___,__,They’ll get to it straight away.,straight away,,,,,,
STAND FOR,5-K,4932,977,__,___,__,That symbol used to stand for something.,stand for,,,,,,
SORT OUT,3-K,2817,2696,___,___,___,They managed to sort out everything on their own.,sort out,,,,,,
SORT OF,1-K,951,13361,___,–,–,It’s sort of why I’m here.,sort of,,,,,,
SOMETHING OF A,5-K,4522,1154,___,___,–,She’s something of a mathematics wiz.,something of a,,,,,,
SOMETHING LIKE THAT,5-K,4461,1192,___,–,–,He said he had a meeting to go to or something like that.,something like that,,,,,,
SOMETHING LIKE,3-K,2622,3092,___,__,–,She makes something like five grand a month.,something like,,,,,,
SOMETHING ABOUT,4-K,3268,2071,___,___,–,There’s something about her I find interesting.,something about,,,,,,
SOME MORE,4-K,3887,1539,___,__,__,I’ll have to think some more before deciding.,some more,,,,,,
SOME KIND OF,4-K,3695,1678,___,___,–,"What are you, some kind of genius?",some kind of,,,,,,
SO THAT,1-K,635,20966,___,___,__,Park it so that the wheels are curbed.,so that,,,,,,
SO FAR AS,4-K,4356,1251,___,___,__,So far as I know it’s not the first time either.,so far as,,,,,,
SO FAR,2-K,1951,5018,___,___,___,Any questions so far?,so far,,,,,,
SO CALLED,3-K,2688,2944,___,___,___,Any so called rumors are as easily their fault.,so called,,,,,,
SO AS TO,4-K,3390,1954,___,___,___,He cluttered his desk so as to appear busy.,so as to,,,,,,
SIGHT OF,4-K,3357,1988,___,___,___,"I can’t stand the sight of it, to tell you the truth.",sight of,,,,,,
SHUT UP,5-K,4683,1079,___,___,–,I just couldn’t shut up.,shut up,,,,,,
SHOWN TO,4-K,4093,1409,–,___,___,Dogs have been shown to help.,shown to,,,,,,
SHORT TERM,3-K,2906,2574,___,___,___,There are many short term gains to be had.,short term,,,,,,
SHORT OF,4-K,3399,1944,__,___,___,"Short of calling the doctor, I don’t know what to do.",short of,,,,,,
SET UP,2-K,1079,11560,___,___,___,The whole thing was set up beforehand.,set up,,,,,,
SET TO,3-K,3121,2258,___,___,__,He’s set to arrive today.,set to,,,,,,
SET OUT,2-K,2064,4624,__,___,___,She accomplished what she set out to do.,set out,,,,,,
SET OFF,4-K,3738,1644,___,___,–,We set off at noon.,set off,,,,,,
SEEK TO,2-K,1716,5937,__,___,___,The new board sought to find alternative solutions.,seek to,,,,,,
SAID TO BE,3-K,2417,3586,–,___,__,The priest was said to be missing.,said to be,,,,,,
RUN OUT,4-K,4062,1430,___,___,–,You need to get milk before you run out.,run out,,,,,,
RUN BY,4-K,3883,1540,___,___,___,The operation is run by two college students.,run by,,,,,,
RIGHT NOW,4-K,3973,1482,___,___,–,The best time is right now.,right now,,,,,,
RID OF,3-K,3162,2212,___,___,__,She was happy to be rid of it.,rid of,,,,,,
RESULT IN,2-K,1759,5763,__,___,___,Excessive criticism resulted in feelings of animosity.,result in,,,,,,
RELY ON,3-K,2454,3488,___,___,___,He has no one else to rely on.,rely on,,,,,,
REGARD TO,3-K,2863,2630,__,___,___,There was some confusion with regard to payment.,regard to,,,,,,
