phrase,Frequency Level,Rank,Frequency </br> (per million words),Spoken general,Written general,Written academic,Example sentence,,,,,,,
IN THE EVENT,3-K,2658,2998,–,___,___,"In the event you change your mind, let me know.",in the event,,,,,,
IN THE END,3-K,2637,3050,___,___,___,In the end it’s like what they say about horses.,in the end,,,,,,
IN THE COURSE OF,3-K,2899,2585,__,___,___,In the course of the discussion the manager left.,in the course of,,,,,,
IN THE ABSENCE OF,4-K,3888,1538,–,___,___,"In the absence of truth, there is only conjecture.",in the absence of,,,,,,
IN THAT,2-K,2018,4805,___,___,___,It’s great in that there are so many restaurants.,in that,,,,,,
IN TERMS OF,2-K,1234,9881,___,___,___,"What is your limit, in terms of price?",in terms of,,,,,,
IN SPITE OF,3-K,2829,2676,__,___,___,In spite of all the work there were few alterations.,in spite of,,,,,,
IN SO FAR AS,3-K,3059,2344,__,___,___,The plan was fine in so far as time and transport.,in so far as,,,,,,
IN SHORT,4-K,3790,1602,–,___,___,The employees were in short tired of it.,in short,,,,,,
IN RETURN,4-K,3640,1720,___,___,___,In return I’d like to present you with this gift.,in return,,,,,,
IN RESPECT OF,3-K,2709,2909,–,___,___,There was nothing in respect of drink.,in respect of,,,,,,
IN QUESTION,4-K,3448,1898,–,__,___,The book in question was published last year.,in question,,,,,,
IN PRINCIPLE,4-K,4063,1429,__,___,___,You can in principle.,in principle,,,,,,
IN PRACTICE,3-K,2407,3609,__,___,___,There was nothing she could do in practice.,in practice,,,,,,
IN PLACE,3-K,2767,2805,__,___,___,There are systems in place to handle that.,in place,,,,,,
IN PARTICULAR,2-K,1533,7092,__,___,___,There’s nothing in particular wrong with it.,in particular,,,,,,
IN PART,3-K,2848,2652,–,___,___,It is in part the reason people come here.,in part,,,,,,
IN OTHER WORDS,3-K,2586,3159,___,___,___,The groups are in other words conservative.,in other words,,,,,,
IN ORDER TO,1-K,984,12762,___,___,___,We shared a room in order to reduce costs,in order to,,,,,,
IN NEED,5-K,4584,1122,_,___,___,We want to help children in need.,in need,,,,,,
IN MIND,3-K,2859,2638,___,___,___,Do you have anything special in mind?,in mind,,,,,,
IN LINE WITH,4-K,4372,1240,___,___,___,The decision is in line with the department’s wishes.,in line with,,,,,,
IN ITSELF,4-K,3491,1855,___,___,___,The car in itself wasn’t enough incentive. ,in itself,,,,,,
IN HAND,4-K,4037,1443,___,___,–,It was well in hand by then.,in hand,,,,,,
IN FULL,4-K,3672,1698,–,___,___,She paid in full.,in full,,,,,,
IN FRONT OF,2-K,1908,5190,___,___,___,She did not want to say anything in front of the kids.,in front of,,,,,,
IN FAVOUR,3-K,2231,4073,___,___,___,I don’t know about you but I’m in favour. ,in favour,,,,,,
IN FACT,1-K,803,15983,___,___,___,"The researchers tried several approaches, in fact.",in fact,,,,,,
IN EFFECT,4-K,3349,1995,___,___,___,In effect it was like being in space.,in effect,,,,,,
IN DETAIL,4-K,3984,1473,___,___,___,I can explain in detail.,in detail,,,,,,
IN CONTRAST,3-K,3149,2229,__,___,___,The inside was amazing in contrast.,in contrast,,,,,,
IN CONJUNCTION WITH,4-K,4314,1270,–,___,___,"The police, in conjunction with the fire department, managed to keep the crowd under control.",in conjunction with,,,,,,
IN COMMON,4-K,3457,1890,___,___,___,What they have in common is their stamina.,in common,,,,,,
IN CHARGE,3-K,2999,2432,___,___,___,He was able to stay in charge while she was away.,in charge,,,,,,
IN CASE,3-K,2926,2536,___,___,___,"In case you’re wondering, this isn’t my natural color.",in case,,,,,,
IN ANY CASE,3-K,3197,2159,___,___,___,It’s not due till tomorrow in any case.,in any case,,,,,,
IN ADVANCE,4-K,3362,1983,___,___,___,It’s something you should do in advance.,in advance,,,,,,
IN ADDITION,2-K,1453,7822,___,___,___,The house was well located in addition.,in addition,,,,,,
IN ACCORDANCE WITH,4-K,3327,2017,–,___,___,The plan was execute in accordance with municipal guidelines.,in accordance with,,,,,,
IN A WAY,3-K,2823,2684,___,___,__,It’s funny in a way.,in a way,,,,,,
IN A SENSE,5-K,4840,1014,___,___,___,The food was in a sense only part of the experience.,in a sense,,,,,,
IN A POSITION TO,5-K,5247,864,___,___,___,I’m not in a position to comment right now.,in a position to,,,,,,
IF YOU LIKE,4-K,4342,1256,___,__,–,It was her ‘chutzpah’ if you like that impressed.,if you like,,,,,,
IF SO,4-K,3960,1488,___,___,___,"If so, you may want to consider Greece.",if so,,,,,,
IF ONLY,4-K,3511,1830,___,___,__,If only I’d known sooner.,if only,,,,,,
I MEAN,1-K,556,23616,___,–,–,"It’s fine, but, I mean, is it worth the price?",i mean,,,,,,
HOW ABOUT,5-K,5447,805,___,__,–,How about tomorrow?,how about,,,,,,
HOLD UP,5-K,5491,791,___,___,–,Sorry – we got held up on the M25.,hold up,,,,,,
HELD THAT,4-K,3718,1661,–,___,___,The congress held that it was acceptable.,held that,,,,,,
HEARD OF,3-K,3022,2403,___,___,__,Haven’t you ever heard of manners?,heard of,,,,,,
HEAD TO,5-K,4839,1014,___,___,–,"Meanwhile, he decided to head to the hospital. ",head to,,,,,,
HAVE TO,1-K,107,83092,___,___,__,I exercise because I have to.,have to,,,,,,
HAVE GOT TO,2-K,1033,12270,___,___,–,You have got to try this salad.,have got to,,,,,,
HAVE A LOOK,3-K,2970,2464,___,__,–,Why don’t you have a look?,have a look,,,,,,
HAPPEN TO BE,4-K,3715,1664,___,___,–,This happens to be my first conference.,happen to be,,,,,,
HAPPEN TO,4-K,3715,1664,___,___,–,This happens to be my first conference.,happen to,,,,,,
HANG ON,4-K,3263,2074,___,___,–,If you can hang on for just a second.,hang on,,,,,,
HAND OVER,4-K,3548,1798,___,___,__,The responsibility was expected to be handed over.,hand over,,,,,,
HALF PAST,4-K,4232,1325,___,___,–,I make it half past.,half past,,,,,,
HAD BETTER,4-K,3323,2022,___,___,__,They had better listen.,had better,,,,,,
GREATER THAN,4-K,3712,1666,__,___,___,Anything greater than five is fine.,greater than,,,,,,
GOOD AT,4-K,3847,1562,___,__,–,You need to find something you’re good at.,good at,,,,,,
GOING TO,1-K,463,28259,___,___,–,I’m going to think about it.,going to,,,,,,
GO THROUGH,2-K,1733,5857,___,___,___,You can’t imagine what I’m going through.,go through,,,,,,
GO ROUND,5-K,4819,1022,___,___,–,I’ll go round asking if anyone wants any more.,go round,,,,,,
GO OUT,2-K,1912,5173,___,___,_,Brochures went out to prospective buyers.,go out,,,,,,
GO ON,1-K,825,15610,___,___,__,He went on for a while before stopping for lunch.,go on,,,,,,
GO OFF,3-K,2919,2551,__,___,–,She went off without even saying goodbye.,go off,,,,,,
GO INTO,3-K,2892,2595,___,___,__,I won’t go into what he said.,go into,,,,,,
GO FOR,3-K,2483,3421,___,__,–,I could really go for a hamburger right now.,go for,,,,,,
GO BACK,3-K,2361,3722,___,___,___,If I could I’d go back and do it all over again.,go back,,,,,,
GO AWAY,3-K,3205,2150,___,___,__,The problem won’t just go away.,go away,,,,,,
GO AHEAD,4-K,3320,2023,___,___,__,Why don’t you go ahead and call him again?,go ahead,,,,,,
GIVEN THAT,4-K,4362,1247,___,___,___,It was no surprise given that it was her job.,given that,,,,,,
GIVE UP,3-K,2258,3997,___,___,__,You can’t just give up.,give up,,,,,,
GIVE RISE TO,4-K,3774,1613,__,___,___,The protests gave rise to new violence.,give rise to,,,,,,
GET UP,3-K,2298,3857,___,___,–,It was easy getting up but the commute was awful.,get up,,,,,,
GET TO,3-K,2263,3979,___,___,__,When he got to the end he started to weep.,get to,,,,,,
GET TO,4-K,4052,1437,___,___,–,Did you get to try the cheese?,get to,,,,,,
GET OUT,2-K,2001,4858,___,___,–,There was no way to get out of work that Friday.,get out,,,,,,
GET ON WITH,4-K,3896,1535,___,___,–,I need to get on with my work.,get on with,,,,,,
GET ON,3-K,2388,3656,___,___,–,We waited for hours in the queue to get on.,get on,,,,,,
GET INTO,3-K,2446,3508,___,___,__,I really got into what he was talking about.,get into,,,,,,
GET BACK,3-K,2575,3178,___,___,__,What time will we get back?,get back,,,,,,
GET AWAY WITH,5-K,5366,824,___,___,–,Somehow they managed to get away with it.,get away with,,,,,,
GET AWAY,5-K,4497,1165,___,___,–,They managed to get away.,get away,,,,,,
FULL TIME,3-K,2785,2761,___,___,__,I’m a full time fan of his music.,full time,,,,,,
FROM TIME TO TIME,4-K,3760,1627,___,___,__,He does come round from time to time.,from time to time,,,,,,
FREE FROM,5-K,4896,991,–,___,___,I dream of a life free from stress.,free from,,,,,,
FOUND TO,3-K,3235,2104,–,___,___,It was found to be of little use in battle.,found to,,,,,,
FOR THE SAKE OF,5-K,5244,865,___,___,__,He exaggerated his points for the sake of effect.,for the sake of,,,,,,
FOR THE MOMENT,5-K,4649,1092,___,___,__,For the moment things seem stable.,for the moment,,,,,,
FOR SOME TIME,4-K,3632,1725,___,___,___,He’s actually been studying for some time now.,for some time,,,,,,
FOR SALE,4-K,4136,1379,__,___,–,The house is for sale.,for sale,,,,,,
FOR LONG,4-K,3861,1553,___,___,_,"He did attend university, but not for long.",for long,,,,,,
FOR LIFE,5-K,4484,1172,___,___,___,And he stayed there for life.,for life,,,,,,
FOR INSTANCE,2-K,1529,7138,__,___,___,That holds true for even the governor for instance.,for instance,,,,,,
FOR GOOD,5-K,4721,1061,___,__,–,It’s gone for good.,for good,,,,,,
FOR ALL,5-K,4471,1182,___,___,__,"For all his money, he does not seem very happy.",for all,,,,,,
FOND OF,5-K,5348,831,___,___,–,"I’m not very fond of it, to be honest.",fond of,,,,,,
FOLLOWED BY,2-K,2013,4816,__,___,___,The workshop will be followed by time for questions.,followed by,,,,,,
FOLLOW UP,3-K,3222,2128,__,___,___,I’d like to follow up on what that gentleman said.,follow up,,,,,,
FOCUS ON,3-K,2371,3703,___,___,___,But today I’d like to focus on something different.,focus on,,,,,,
FIRST OF ALL,4-K,4182,1352,___,__,__,It is first of all what most people prefer.,first of all,,,,,,
FIND OUT,2-K,1605,6499,___,___,___,How did you find out?,find out,,,,,,
FILL IN,5-K,4466,1187,___,___,___,The victim filled in what was stolen.,fill in,,,,,,
FEEL LIKE,3-K,3000,2431,___,__,–,I feel like eating out.,feel like,,,,,,
FAIL TO,2-K,1204,10263,___,___,___,I fail to see the humor in all this.,fail to,,,,,,
FACED WITH,4-K,3722,1658,__,___,__,"Faced with defeat, he changed tactics.",faced with,,,,,,
EXCEPT THAT,4-K,4262,1296,___,___,__,It seemed fine except that it was pink.,except that,,,,,,
EVER SINCE,4-K,3762,1622,___,___,__,And they haven’t been the same ever since.,ever since,,,,,,
EVEN THOUGH,2-K,1778,5664,___,___,___,I can’t even though it looks easy enough.,even though,,,,,,
EVEN SO,4-K,4165,1363,___,___,___,"Even so, it’s no way to treat a guest.",even so,,,,,,
ENTITLED TO,3-K,2606,3113,__,___,___,You’re entitled to your opinion.,entitled to,,,,,,
END UP,3-K,2536,3285,___,___,___,We ended up going anyway.,end up,,,,,,
EACH OTHER,2-K,1209,10160,___,___,__,The good thing is that they still have each other.,each other,,,,,,
DUE TO,2-K,1183,10454,___,___,___,Many people believe it is due to global warming.,due to,,,,,,
DOING SO,4-K,3733,1647,__,___,___,"Unfortunately, doing so also meant facing traffic.",doing so,,,,,,
DEAL WITH,1-K,934,13634,___,___,___,The police had several issues to deal with.,deal with,,,,,,
DAY TO DAY,4-K,4278,1289,___,___,__,They carried on with their day to day tasks.,day to day,,,,,,
COULD HARDLY,4-K,3431,1911,___,___,__,I could hardly wait for the weekend.,could hardly,,,,,,
CONTRARY TO,4-K,4253,1303,__,___,___,"The city is clean, contrary to popular belief.",contrary to,,,,,,
CONSISTENT WITH,4-K,4242,1315,–,__,___,The results are consistent with our hypothesis.,consistent with,,,,,,
CONSIST OF,2-K,1850,5362,__,___,___,What does it consist of?,consist of,,,,,,
CONCERNED WITH,2-K,2068,4619,__,___,___,They spoke on issues concerned with culture.,concerned with,,,,,,
COMMON SENSE,5-K,4749,1049,___,___,___,To me it’s common sense.,common sense,,,,,,
COME UP WITH,4-K,3446,1898,___,___,__,Is that the best you could come up with?,come up with,,,,,,
COME UP TO,5-K,5193,881,___,___,–,Men always come up to me first.,come up to,,,,,,
COME TO TERMS WITH,5-K,5323,839,__,___,__,They were finally able to come to terms with the change in weather.,come to terms with,,,,,,
COME TO,2-K,1970,4970,___,___,__,We came to see it for what it was.,come to,,,,,,
COME OUT,2-K,1696,6031,___,___,___,It’s supposed to come out on Friday.,come out,,,,,,
COME ON,2-K,2105,4519,___,__,–,"Come on, think about it!",come on,,,,,,
COME BACK,2-K,1573,6772,___,___,___,But we can come back to that later.,come back,,,,,,
COME ACROSS,4-K,4167,1362,___,___,__,They happened to come across a map.,come across,,,,,,
COME ABOUT,5-K,5504,787,___,___,__,It all came about through a meeting back in April.,come about,,,,,,
CHOOSE TO,3-K,2616,3099,___,___,___,You may choose to believe what the papers say.,choose to,,,,,,
CATCH UP,5-K,4634,1095,___,___,–,I took extra classes just to catch up.,catch up,,,,,,
CARRY OUT,2-K,1146,10753,__,___,___,It was not as easy to carry out without funding.,carry out,,,,,,
CARRY ON,3-K,2345,3759,___,___,___,He could simply not carry on.,carry on,,,,,,
CARE TO,4-K,4396,1223,___,___,–,Do you care to comment at all?,care to,,,,,,
CARE FOR,3-K,2657,3004,___,___,___,He doesn’t care for it very much in his tea.,care for,,,,,,
CAN TELL,5-K,4850,1011,___,__,–,You can tell from the markings.,can tell,,,,,,
CALL ON,4-K,3328,2016,__,___,__,He called on his members of staff for advice.,call on,,,,,,
CALL FOR,2-K,1657,6243,__,___,___,Hard times call for tough measures.,call for,,,,,,
BY WAY OF,4-K,4099,1404,__,___,___,It was only by way of bribery that they managed.,by way of,,,,,,
BY VIRTUE OF,5-K,4991,954,___,___,___,She won by virtue of her superior intellect.,by virtue of,,,,,,
BY THE WAY,4-K,4058,1433,___,___,–,"By the way, what day is the wedding?",by the way,,,,,,
BY THE TIME,3-K,2408,3607,___,___,__,By the time dinner started there were none left.,by the time,,,,,,
BY NOW,4-K,3295,2044,___,___,__,I thought they’d be here by now.,by now,,,,,,
BY NO MEANS,4-K,3417,1925,___,___,___,We have by no means concluded the matter.,by no means,,,,,,
BY MEANS OF,4-K,3789,1602,__,___,___,It was possible to achieve by means of coercion. ,by means of,,,,,,
BY FAR,5-K,5060,925,___,___,___,The rise in unemployment was by far the highest.,by far,,,,,,
BY CONTRAST,4-K,4061,1430,__,___,___,The weather was by contrast a pleasant surprise.,by contrast,,,,,,
BUT THEN,4-K,3803,1589,___,___,–,"I went over budget, but then I expected I would.",but then,,,,,,
BRING UP,4-K,3387,1958,___,___,___,Did you manage to bring up the holiday pay?,bring up,,,,,,
BRING ABOUT,4-K,3322,2022,–,___,___,It was expected that he would bring about change.,bring about,,,,,,
BREAK UP,4-K,3796,1595,___,___,–,They did keep in touch after they broke up.,break up,,,,,,
BOUND TO,3-K,3104,2278,___,___,___,It’s bound to be better next time.,bound to,,,,,,
BOTHER TO,5-K,4754,1046,___,___,–,He never bothered to reply.,bother to,,,,,,
BETTER OFF,5-K,4919,980,___,___,__,You’re better off without him.,better off,,,,,,
BELIEVE IN,3-K,2981,2450,___,___,–,I don’t believe in corporal punishment.,believe in,,,,,,
BEAR IN MIND,4-K,4109,1398,___,___,___,It was designed bearing in mind environmental impact.,bear in mind,,,,,,
BE RUN BY,4-K,3883,1540,___,___,___,The operation is run by two college students.,be run by,,,,,,
BE EXPECTED TO,2-K,1713,5964,___,___,___,They can’t be expected to just sit there and wait.,be expected to,,,,,,
BASED ON,2-K,1088,11440,___,___,___,"Based on the reports, it seems it was an accident.",based on,,,,,,
BACKED BY,5-K,5285,850,–,___,–,The group is backed by the drug trade.,backed by,,,,,,
BACK UP,5-K,4761,1042,___,___,__,I have proof to back up my story.,back up,,,,,,
AT WORK,5-K,5503,787,–,___,___,There were strange forces at work.,at work,,,,,,
AT TIMES,4-K,3331,2014,___,___,___,It can be slightly frustrating at times.,at times,,,,,,
AT THIS POINT,4-K,3465,1884,___,___,___,At this point there’s no telling who might win.,at this point,,,,,,
AT THE TIME,2-K,1873,5282,___,___,___,I was busy at the time.,at the time,,,,,,
AT THE SAME TIME,3-K,2719,2892,___,___,___,At the same time it may be worth it.,at the same time,,,,,,
AT THE OUTSET,5-K,4959,963,___,___,___,"It went well, but not at the outset.",at the outset,,,,,,
AT THE MOMENT,2-K,1959,5001,___,___,___,They have a lot going on at the moment.,at the moment,,,,,,
AT THE EXPENSE OF,5-K,4656,1086,__,___,___,They were laughing at the expense of the photo.,at the expense of,,,,,,
AT RISK,4-K,4077,1419,__,___,___,There’s no reason to put passers by at risk.,at risk,,,,,,
AT PRESENT,3-K,2744,2847,_,___,___,There’s nothing to do at present.,at present,,,,,,
AT ONE TIME,5-K,4837,1014,___,___,___,At one time I thought that too.,at one time,,,,,,
AT ONCE,3-K,2379,3684,___,___,___,I did it at once.,at once,,,,,,
AT LEAST,1-K,518,25034,___,___,___,"Well, you could email me at least.",at least,,,,,,
AT LAST,3-K,2173,4306,___,___,__,At last we met over coffee last week.,at last,,,,,,
AT FIRST,3-K,2180,4275,___,___,___,"Not at first, but just the other day there was one.",at first,,,,,,
AT BEST,5-K,5303,844,___,___,__,He’s at best average.,at best,,,,,,
AT ALL,1-K,879,14650,___,___,___,Do you have any kids at all?,at all,,,,,,
AT A TIME,4-K,4210,1340,___,___,___,They went in two at a time.,at a time,,,,,,
AS YET,4-K,4072,1423,__,___,___,I’m not convinced as yet.,as yet,,,,,,
AS WELL AS,1-K,717,18041,___,___,___,She jogs as well as swims. ,as well as,,,,,,
AS WELL,2-K,1083,11519,___,___,___,I like it as well.,as well,,,,,,
AS USUAL,4-K,4282,1287,___,___,__,As usual he left it until the last minute.,as usual,,,,,,
AS TO,2-K,1082,11535,__,___,___,There was some confusion as to its whereabouts.,as to,,,,,,
AS THOUGH,2-K,1967,4988,__,___,___,"He smiled then, as though remembering a joke.",as though,,,,,,
AS SUCH,3-K,3094,2290,__,___,___,The film was not a horror as such.,as such,,,,,,
AS SOON AS,2-K,1861,5323,___,___,___,As soon as he can he will call you back.,as soon as,,,,,,
AS OPPOSED TO,4-K,3771,1615,__,___,___,"Better now, as opposed to what?",as opposed to,,,,,,
AS OF,5-K,4703,1069,___,___,___,It was completed as of June.,as of,,,,,,
AS LONG AS,2-K,1931,5084,___,___,__,It makes no difference as long as it’s done.,as long as,,,,,,
AS IT WERE,5-K,4909,985,___,___,_,The party was a smash as it were.,as it were,,,,,,
AS IF,1-K,888,14470,___,___,–,They walked together as if no time had passed.,as if,,,,,,
AS GOOD AS,5-K,4759,1043,___,___,__,It’s as good as gone.,as good as,,,,,,
AS FOR,3-K,2588,3157,___,___,___,"As for the promotion, there may be other options.",as for,,,,,,
AS FOLLOWS,3-K,2871,2620,–,___,___,The plan is as follows.,as follows,,,,,,
AS FAR AS,2-K,2067,4619,___,___,___,"What are you thinking, as far as feasibility on this?",as far as,,,,,,
AS A WHOLE,3-K,2404,3615,___,___,___,As a whole it’s OK.,as a whole,,,,,,
AS A RESULT,2-K,1438,7939,__,___,___,He was tired and as a result not very aware.,as a result,,,,,,
APPEAL TO,3-K,2531,3299,___,___,___,It appeals to younger learners.,appeal to,,,,,,
APART FROM,2-K,1647,6287,___,___,___,"Are there any others, apart from him?",apart from,,,,,,
AND SO ON,2-K,2087,4584,___,___,___,"My parents arrived, then John, his wife, and so on.",and so on,,,,,,
AND ALL THAT,5-K,4901,989,___,–,–,I like art and all that.,and all that,,,,,,
AMOUNT TO,4-K,3854,1556,__,___,___,"Unfortunately, the player never amounted to much.",amount to,,,,,,
ALONG WITH,2-K,1974,4948,___,___,___,"Along with his dog, the cat slowly stopped eating.",along with,,,,,,
ALLOW FOR,5-K,4614,1105,__,___,___,"Even if you allow for inflation, the price increase still seems exhorbitant.",allow for,,,,,,
ALL TOO,4-K,3830,1571,___,___,–,Why is this all too familiar?,all too,,,,,,
ALL THE WAY,4-K,3340,2007,___,___,___,I’m with you all the way.,all the way,,,,,,
ALL THE TIME,3-K,2439,3527,___,___,__,I go there all the time.,all the time,,,,,,
ALL SORTS OF,4-K,3895,1535,___,___,__,We have all sorts of time left.,all sorts of,,,,,,
ALL RIGHT,2-K,1894,5230,___,___,–,If it’s all right I think I’ll head off to bed.,all right,,,,,,
ALL OVER,3-K,2135,4420,___,___,__,The news was all over the web.,all over,,,,,,
ALL BUT,3-K,3157,2214,___,___,_,She all but sent him chocolates and flowers.,all but,,,,,,
AIMED AT,3-K,2907,2573,__,___,___,The study is aimed at exploring how people use it.,aimed at,,,,,,
AIM TO,3-K,2484,3415,__,___,___,They aim to complete the project by the spring.,aim to,,,,,,
AFTER ALL,2-K,1904,5197,___,___,__,"He is only six years old, after all.",after all,,,,,,
AFFORD TO,4-K,3355,1989,___,___,__,It’s something you can’t afford to miss.,afford to,,,,,,
ADD TO,4-K,4071,1424,___,___,___,It does nothing to add to the scenery.,add to,,,,,,
ACT ON,4-K,4261,1296,___,___,___,She never acted on that rage.,act on,,,,,,
ACCOUNT FOR,2-K,2060,4642,__,___,___,They’ll need to account for their actions.,account for,,,,,,
ABOVE ALL,3-K,3160,2212,___,___,___,It is above all what people care most about.,above all,,,,,,
ABOUT TO,2-K,2075,4600,___,___,__,Things were about to change.,about to,,,,,,
A VARIETY OF,3-K,2179,4283,___,___,___,And a variety of issues seemed to stall the process.,a variety of,,,,,,
A SINGLE,2-K,1356,8710,___,___,__,Not a single idea emerged from the meeting.,a single,,,,,,
A RANGE OF,2-K,1779,5651,___,___,___,"Eventually, a range of events changed that.",a range of,,,,,,
A QUESTION OF,5-K,4482,1174,___,___,___,It’s a question of trust.,a question of,,,,,,
A NUMBER OF,1-K,854,15090,___,___,___,A number of concerns were raised.,a number of,,,,,,
A MERE,4-K,4092,1410,__,___,___,She made a mere penny per shirt.,a mere,,,,,,
A LOT,1-K,598,22332,___,__,–,They go camping a lot in the summer.,a lot,,,,,,
A LONG WAY,4-K,3851,1557,___,___,__,A little bit of compassion can go a long way.,a long way,,,,,,
A LITTLE,1-K,655,20296,___,___,__,I like to work out a little before dinner.,a little,,,,,,
A HANDFUL OF,5-K,4955,965,___,___,___,Only a handful of them were actually awake.,a handful of,,,,,,
A GREAT DEAL,2-K,1920,5126,___,___,__,She means a great deal to me.,a great deal,,,,,,
A GO,5-K,4639,1093,___,___,–,Why don’t you have a go?,a go,,,,,,
A FURTHER,2-K,1681,6121,_,___,___,It’s a further reason to reconsider the project.,a further,,,,,,
A FEW,1-K,489,26451,___,___,__,"After a few drinks, she started to dance.",a few,,,,,,
A DEGREE OF,5-K,5072,921,_,___,___,There is a degree of irony in the story.,a degree of,,,,,,
A COUPLE OF,2-K,1542,7007,___,___,–,They need a couple of minutes still.,a couple of,,,,,,
A CASE OF,5-K,5169,888,___,___,___,Now it’s just a case of getting them to subscribe.,a case of,,,,,,
A BIT OF A,4-K,3791,1599,___,__,–,He’s a bit of a film fanatic.,a bit of a,,,,,,
A BIT OF,1-K,674,19618,___,___,–,There was a bit of drama today at the office.,a bit of,,,,,,
A BIT,1-K,674,19618,___,___,–,There was a bit of drama today at the office.,a bit,,,,,,
