phrase,Frequency Level,Rank,Frequency </br> (per million words),Spoken general,Written general,Written academic,Example sentence,,,,,,,
A FURTHER,2-K,1681,6121,_,___,___,It’s a further reason to reconsider the project.,,,,,,,
COME OUT,2-K,1696,6031,___,___,___,It’s supposed to come out on Friday.,,,,,,,
BE EXPECTED TO,2-K,1713,5964,___,___,___,They can’t be expected to just sit there and wait.,,,,,,,
SEEK TO,2-K,1716,5937,__,___,___,The new board sought to find alternative solutions.,,,,,,,
GO THROUGH,2-K,1733,5857,___,___,___,You can’t imagine what I’m going through.,,,,,,,
LONG TERM,2-K,1740,5831,___,___,___,"It seems to work, but what of the long term effects?",,,,,,,
RESULT IN,2-K,1759,5763,__,___,___,Excessive criticism resulted in feelings of animosity.,,,,,,,
THAT IS (REPHRASING),2-K,1764,5737,___,___,___,"It’s yours, as long as you pay that is.",,,,,,,
EVEN THOUGH,2-K,1778,5664,___,___,___,I can’t even though it looks easy enough.,,,,,,,
A RANGE OF,2-K,1779,5651,___,___,___,"Eventually, a range of events changed that.",,,,,,,
THE LATTER,2-K,1815,5519,–,___,___,The latter may still be a challenge.,,,,,,,
MAKE SURE,2-K,1818,5510,___,___,___,I had to make sure before I opened the door.,,,,,,,
TAKE OVER,2-K,1843,5394,___,___,___,You can’t just let the kids take over.,,,,,,,
CONSIST OF,2-K,1850,5362,__,___,___,What does it consist of?,,,,,,,
AS SOON AS,2-K,1861,5323,___,___,___,As soon as he can he will call you back.,,,,,,,
AT THE TIME,2-K,1873,5282,___,___,___,I was busy at the time.,,,,,,,
ON THE OTHER HAND,2-K,1877,5267,___,___,___,"On the other hand, the business did make a profit.",,,,,,,
ON ONE'S OWN,2-K,1886,5240,___,___,__,You did this on your own?,,,,,,,
ALL RIGHT,2-K,1894,5230,___,___,–,If it’s all right I think I’ll head off to bed.,,,,,,,
SUBJECT TO,2-K,1900,5218,–,__,___,All baggage is subject to inspection.,,,,,,,
AFTER ALL,2-K,1904,5197,___,___,__,"He is only six years old, after all.",,,,,,,
IN FRONT OF,2-K,1908,5190,___,___,___,She did not want to say anything in front of the kids.,,,,,,,
TO DO WITH,2-K,1910,5184,___,__,___,I think it has something to do with physics.,,,,,,,
GO OUT,2-K,1912,5173,___,___,_,Brochures went out to prospective buyers.,,,,,,,
A GREAT DEAL,2-K,1920,5126,___,___,__,She means a great deal to me.,,,,,,,
A GOOD DEAL,2-K,1920,5126,___,___,__,She means a great deal to me.,,,,,,,
ON THE WAY,2-K,1929,5085,___,___,__,We can stop for lunch on the way.,,,,,,,
AS LONG AS,2-K,1931,5084,___,___,__,It makes no difference as long as it’s done.,,,,,,,
SO FAR,2-K,1951,5018,___,___,___,Any questions so far?,,,,,,,
OUGHT TO,2-K,1958,5002,___,__,–,She hasn’t but she ought to.,,,,,,,
AT THE MOMENT,2-K,1959,5001,___,___,___,They have a lot going on at the moment.,,,,,,,
AS THOUGH,2-K,1967,4988,__,___,___,"He smiled then, as though remembering a joke.",,,,,,,
COME TO,2-K,1970,4970,___,___,__,We came to see it for what it was.,,,,,,,
ALONG WITH,2-K,1974,4948,___,___,___,"Along with his dog, the cat slowly stopped eating.",,,,,,,
MAY WELL,2-K,1982,4931,___,___,___,He hasn’t yet but may well try before long.,,,,,,,
GET OUT,2-K,2001,4858,___,___,–,There was no way to get out of work that Friday.,,,,,,,
FOLLOWED BY,2-K,2013,4816,__,___,___,The workshop will be followed by time for questions.,,,,,,,
IN THAT,2-K,2018,4805,___,___,___,It’s great in that there are so many restaurants.,,,,,,,
IN THE SENSE THAT,2-K,2018,4805,___,___,___,It’s great in that there are so many restaurants.,,,,,,,
THE CASE,2-K,2022,4794,___,___,___,It’s not the case that I don’t love him.,,,,,,,
TAKE UP,2-K,2038,4717,___,___,_,I don’t wish to take up more time than is necessary.,,,,,,,
ACCOUNT FOR,2-K,2060,4642,__,___,___,They’ll need to account for their actions.,,,,,,,
SET OUT,2-K,2064,4624,__,___,___,She accomplished what she set out to do.,,,,,,,
AS FAR AS,2-K,2067,4619,___,___,___,"What are you thinking, as far as feasibility on this?",,,,,,,
CONCERNED WITH,2-K,2068,4619,__,___,___,They spoke on issues concerned with culture.,,,,,,,
ABOUT TO,2-K,2075,4600,___,___,__,Things were about to change.,,,,,,,
SUPPOSED TO,2-K,2086,4586,___,___,___,"I didn’t go, but I was supposed to.",,,,,,,
AND SO ON,2-K,2087,4584,___,___,___,"My parents arrived, then John, his wife, and so on.",,,,,,,
COME ON,2-K,2105,4519,___,__,–,"Come on, think about it!",,,,,,,
TAKE ON,3-K,2124,4451,___,___,__,You’d better think twice before taking on more work.,,,,,,,
WORK OUT,3-K,2131,4432,___,___,___,I’m trying to work out what it stands for.,,,,,,,
ALL OVER,3-K,2135,4420,___,___,__,The news was all over the web.,,,,,,,
OTHER THAN,3-K,2149,4380,___,___,___,No one other than you could have come up with it.,,,,,,,
