phrase,Frequency Level,Rank,Frequency </br> (per million words),Spoken general,Written general,Written academic,Example sentence,,,,,,,
ON BOARD,4-K,3673,1698,___,___,__,Are you on board with the decision?,,,,,,,
TO SOME EXTENT,4-K,3686,1688,___,___,___,It is to some extent what is considered standard.,,,,,,,
SOME KIND OF,4-K,3695,1678,___,___,–,"What are you, some kind of genius?",,,,,,,
KEEP UP,4-K,3700,1674,___,___,__,Keep up if you can.,,,,,,,
NO IDEA,4-K,3709,1670,___,__,–,You have no idea.,,,,,,,
GREATER THAN,4-K,3712,1666,__,___,___,Anything greater than five is fine.,,,,,,,
HAPPEN TO BE,4-K,3715,1664,___,___,–,This happens to be my first conference.,,,,,,,
HAPPEN TO,4-K,3715,1664,___,___,–,This happens to be my first conference.,,,,,,,
HELD THAT,4-K,3718,1661,–,___,___,The congress held that it was acceptable.,,,,,,,
FACED WITH,4-K,3722,1658,__,___,__,"Faced with defeat, he changed tactics.",,,,,,,
DOING SO,4-K,3733,1647,__,___,___,"Unfortunately, doing so also meant facing traffic.",,,,,,,
SET OFF,4-K,3738,1644,___,___,–,We set off at noon.,,,,,,,
PUT FORWARD,4-K,3740,1640,__,___,___,The group put forward several other proposals.,,,,,,,
FROM TIME TO TIME,4-K,3760,1627,___,___,__,He does come round from time to time.,,,,,,,
THE MEANS,4-K,3791,1626,__,___,___,He hasn’t the means to get there.,,,,,,,
EVER SINCE,4-K,3762,1622,___,___,__,And they haven’t been the same ever since.,,,,,,,
JUST ABOUT,4-K,3763,1622,___,__,–,Am I finished? Just about.,,,,,,,
AS OPPOSED TO,4-K,3771,1615,__,___,___,"Better now, as opposed to what?",,,,,,,
GIVE RISE TO,4-K,3774,1613,__,___,___,The protests gave rise to new violence.,,,,,,,
LARGE SCALE,4-K,3780,1610,__,___,___,They were thinking on a large scale.,,,,,,,
MAKE SENSE,4-K,3782,1608,___,___,__,Doesn’t it make sense to do it that way?,,,,,,,
BY MEANS OF,4-K,3789,1602,__,___,___,It was possible to achieve by means of coercion. ,,,,,,,
IN SHORT,4-K,3790,1602,–,___,___,The employees were in short tired of it.,,,,,,,
A BIT OF A,4-K,3791,1599,___,__,–,He’s a bit of a film fanatic.,,,,,,,
BREAK UP,4-K,3796,1595,___,___,–,They did keep in touch after they broke up.,,,,,,,
BUT THEN AGAIN,4-K,3803,1589,___,___,–,"I went over budget, but then I expected I would.",,,,,,,
BUT THEN,4-K,3803,1589,___,___,–,"I went over budget, but then I expected I would.",,,,,,,
ALL TOO,4-K,3830,1571,___,___,–,Why is this all too familiar?,,,,,,,
PUT UP,4-K,3831,1571,___,___,–,The authorities put up a sign to notify the public.,,,,,,,
GOOD AT,4-K,3847,1562,___,__,–,You need to find something you’re good at.,,,,,,,
A LONG WAY,4-K,3851,1557,___,___,__,A little bit of compassion can go a long way.,,,,,,,
AMOUNT TO,4-K,3854,1556,__,___,___,"Unfortunately, the player never amounted to much.",,,,,,,
FOR LONG,4-K,3861,1553,___,___,_,"He did attend university, but not for long.",,,,,,,
BE RUN BY,4-K,3883,1540,___,___,___,The operation is run by two college students.,,,,,,,
BEEN RUN BY,4-K,3883,1540,___,___,___,The operation is run by two college students.,,,,,,,
IS RUN BY,4-K,3883,1540,___,___,___,The operation is run by two college students.,,,,,,,
ARE RUN BY,4-K,3883,1540,___,___,___,The operation is run by two college students.,,,,,,,
WAS RUN BY,4-K,3883,1540,___,___,___,The operation is run by two college students.,,,,,,,
WERE RUN BY,4-K,3883,1540,___,___,___,The operation is run by two college students.,,,,,,,
RUN BY,4-K,3883,1540,___,___,___,The operation is run by two college students.,,,,,,,
SOME MORE,4-K,3887,1539,___,__,__,I’ll have to think some more before deciding.,,,,,,,
IN THE ABSENCE OF,4-K,3888,1538,–,___,___,"In the absence of truth, there is only conjecture.",,,,,,,
ALL SORTS OF,4-K,3895,1535,___,___,__,We have all sorts of time left.,,,,,,,
GET ON WITH,4-K,3896,1535,___,___,–,I need to get on with my work.,,,,,,,
NO GOOD,4-K,3902,1528,___,___,–,It’s no good sitting there – you have to type.,,,,,,,
YET ANOTHER,4-K,3939,1500,___,___,___,That’s yet another day gone by with nothing done.,,,,,,,
KEY TO,4-K,3940,1499,___,___,___,Her input was key to the project’s success.,,,,,,,
I'M AFRAID,4-K,3947,1495,___,__,–,"It hasn’t arrived, I’m afraid.",,,,,,,
THAT WHICH,4-K,3955,1491,–,___,___,You cannot undo that which has already been done.,,,,,,,
IF SO,4-K,3960,1488,___,___,___,"If so, you may want to consider Greece.",,,,,,,
RIGHT NOW,4-K,3973,1482,___,___,–,The best time is right now.,,,,,,,
IN VIEW OF,4-K,3979,1477,–,___,___,She reconsidered in view of her children.,,,,,,,
IN DETAIL,4-K,3984,1473,___,___,___,I can explain in detail.,,,,,,,
REFLECTED IN,4-K,3989,1471,___,___,___,The artist’s angst is reflected in her painting.,,,,,,,
NO SUCH,4-K,3992,1470,___,___,___,He said no such thing.,,,,,,,
NOTHING BUT,4-K,4004,1466,___,___,__,I have nothing but respect for her.,,,,,,,
IN THE FACE OF,4-K,4020,1457,__,___,___,They quit in the face of the media scrutiny.,,,,,,,
SUCH THAT,4-K,4023,1454,__,___,___,It can be developed such that it does not interfere.,,,,,,,
OUT OF,4-K,4025,1453,___,___,__,Most commuters drive out of pure necessity.,,,,,,,
NEXT DOOR,4-K,4029,1449,___,___,–,The people next door didn’t seem to mind.,,,,,,,
TO THE POINT,4-K,4032,1447,___,___,___,It got to the point I couldn’t breathe.  ,,,,,,,
MAKE ITS WAY,4-K,4035,1446,__,___,–,The mouse made its way across the field.,,,,,,,
MAKE ONE’S WAY,4-K,4035,1446,__,___,–,The mouse made its way across the field.,,,,,,,
IN HAND,4-K,4037,1443,___,___,–,It was well in hand by then.,,,,,,,
GET TO,4-K,4052,1437,___,___,–,Did you get to try the cheese?,,,,,,,
BY THE WAY,4-K,4058,1433,___,___,–,"By the way, what day is the wedding?",,,,,,,
BY CONTRAST,4-K,4061,1430,__,___,___,The weather was by contrast a pleasant surprise.,,,,,,,
RUN OUT OF,4-K,4062,1430,___,___,–,You need to get milk before you run out.,,,,,,,
RUN OUT,4-K,4062,1430,___,___,–,You need to get milk before you run out.,,,,,,,
IN PRINCIPLE,4-K,4063,1429,__,___,___,You can in principle.,,,,,,,
ADD TO,4-K,4071,1424,___,___,___,It does nothing to add to the scenery.,,,,,,,
AS YET,4-K,4072,1423,__,___,___,I’m not convinced as yet.,,,,,,,
AT RISK,4-K,4077,1419,__,___,___,There’s no reason to put passers by at risk.,,,,,,,
A MERE,4-K,4092,1410,__,___,___,She made a mere penny per shirt.,,,,,,,
SHOWN TO,4-K,4093,1409,–,___,___,Dogs have been shown to help.,,,,,,,
ON THE ONE HAND,4-K,4095,1406,___,___,_,"On the one hand, it’s cheap.",,,,,,,
BY WAY OF,4-K,4099,1404,__,___,___,It was only by way of bribery that they managed.,,,,,,,
ON THE ROAD,4-K,4107,1400,___,___,–,I can’t wait to get on the road again.,,,,,,,
BEAR IN MIND,4-K,4109,1398,___,___,___,It was designed bearing in mind environmental impact.,,,,,,,
OLD FASHIONED,4-K,4113,1393,___,___,–,He’s just a bit old fashioned sometimes.,,,,,,,
FOR SALE,4-K,4136,1379,__,___,–,The house is for sale.,,,,,,,
OR ANYTHING,4-K,4138,1379,___,__,–,I don’t want any trouble or anything.,,,,,,,
MOST LIKELY,4-K,4143,1376,___,___,___,It is most likely the reason for the warming.,,,,,,,
PROVIDE FOR,4-K,4153,1370,–,___,___,The other variables have been provided for.,,,,,,,
EVEN SO,4-K,4165,1363,___,___,___,"Even so, it’s no way to treat a guest.",,,,,,,
COME ACROSS,4-K,4167,1362,___,___,__,They happened to come across a map.,,,,,,,
FIRST OF ALL,4-K,4182,1352,___,__,__,It is first of all what most people prefer.,,,,,,,
MIGHT AS WELL,4-K,4195,1348,___,___,–,We’re here now so we might as well.,,,,,,,
LIMITED TO,4-K,4199,1346,–,___,___,The dinner was limited to seniors.,,,,,,,
TO ME ('IN MY OPINION'),4-K,4201,1345,___,__,_,To me what matters is that it gets done.,,,,,,,
MIND YOU,4-K,4207,1342,___,__,–,"Mind you, that’s one reason why I go there.",,,,,,,
AT A TIME,4-K,4210,1340,___,___,___,They went in two at a time.,,,,,,,
HALF PAST,4-K,4232,1325,___,___,–,I make it half past.,,,,,,,
WITH RESPECT TO,4-K,4233,1325,__,___,___,She had nothing to add with respect to the report.,,,,,,,
CONSISTENT WITH,4-K,4242,1315,–,__,___,The results are consistent with our hypothesis.,,,,,,,
WAY OUT,4-K,4248,1309,___,___,–,He lives way out in the country.,,,,,,,
THIRD PARTY,4-K,4250,1307,–,–,___,They work with third party software too.,,,,,,,
CONTRARY TO,4-K,4253,1303,__,___,___,"The city is clean, contrary to popular belief.",,,,,,,
WORTH OF,4-K,4257,1299,___,___,–,Two dollars worth of wood was all he needed.,,,,,,,
A GOOD (‘AT LEAST’),4-K,4259,1298,___,___,__,It took him a good six or seven years.,,,,,,,
ACT ON,4-K,4261,1296,___,___,___,She never acted on that rage.,,,,,,,
EXCEPT THAT,4-K,4262,1296,___,___,__,It seemed fine except that it was pink.,,,,,,,
DAY TO DAY,4-K,4278,1289,___,___,__,They carried on with their day to day tasks.,,,,,,,
AS USUAL,4-K,4282,1287,___,___,__,As usual he left it until the last minute.,,,,,,,
LONG BEFORE,4-K,4290,1282,___,___,___,Long before I could quit I was offered a promotion.,,,,,,,
LONG AGO,4-K,4307,1273,___,___,___,I gave up on that idea long ago.,,,,,,,
IN CONJUNCTION WITH,4-K,4314,1270,–,___,___,"The police, in conjunction with the fire department, managed to keep the crowd under control.",,,,,,,
UP TO DATE,4-K,4319,1268,___,___,___,I try to keep up to date.,,,,,,,
LET ALONE,4-K,4333,1261,___,___,___,I can’t run let alone walk.,,,,,,,
QUITE A LOT,4-K,4337,1260,___,___,–,I do swim quite a lot.,,,,,,,
IF YOU LIKE,4-K,4342,1256,___,__,–,It was her ‘chutzpah’ if you like that impressed.,,,,,,,
TO THE EXTENT,4-K,4349,1253,–,___,___,He’s interesting to the extent that he knows a lot.,,,,,,,
SO FAR AS,4-K,4356,1251,___,___,__,So far as I know it’s not the first time either.,,,,,,,
GIVEN THAT,4-K,4362,1247,___,___,___,It was no surprise given that it was her job.,,,,,,,
IN LINE WITH,4-K,4372,1240,___,___,___,The decision is in line with the department’s wishes.,,,,,,,
ON THE WHOLE,4-K,4374,1238,___,___,___,It was acceptable on the whole. ,,,,,,,
CARE TO,4-K,4396,1223,___,___,–,Do you care to comment at all?,,,,,,,
TAKE ACCOUNT OF,4-K,4408,1217,__,___,___,We did not take account of the paperwork.,,,,,,,
SOMETHING LIKE THAT,5-K,4461,1192,___,–,–,He said he had a meeting to go to or something like that.,,,,,,,
MAKE USE OF,5-K,4462,1191,___,___,___,We made use of the stopover.,,,,,,,
WHEN IT COMES TO,5-K,4465,1188,___,___,___,I’m hopeless when it comes to goodbyes.,,,,,,,
FILL IN,5-K,4466,1187,___,___,___,The victim filled in what was stolen.,,,,,,,
FOR ALL,5-K,4471,1182,___,___,__,"For all his money, he does not seem very happy.",,,,,,,
A QUESTION OF,5-K,4482,1174,___,___,___,It’s a question of trust.,,,,,,,
FOR LIFE,5-K,4484,1172,___,___,___,And he stayed there for life.,,,,,,,
GET AWAY,5-K,4497,1165,___,___,–,They managed to get away.,,,,,,,
IN THE MEANTIME,5-K,4501,1161,___,___,___,I’ll keep working on it in the meantime.,,,,,,,
SOMETHING OF A,5-K,4522,1154,___,___,–,She’s something of a mathematics wiz.,,,,,,,
THE ODD,5-K,4523,1154,___,___,__,I do play the odd jazz tune.,,,,,,,
LITTLE MORE THAN,5-K,4556,1133,__,___,___,It’s little more than pageantry if you ask me.,,,,,,,
WOULD YOU LIKE,5-K,4558,1133,___,__,–,Would you like tea?,,,,,,,
IN NEED,5-K,4584,1122,_,___,___,We want to help children in need.,,,,,,,
TAKE FOR GRANTED,5-K,4587,1120,___,___,__,It’s just something I’ve always taken for granted.,,,,,,,
IN THIS RESPECT,5-K,4605,1110,–,___,___,"In this respect, our study refutes earlier research.",,,,,,,
PROVIDED THAT,5-K,4606,1110,__,___,___,It’s OK provided that he come up with the goods.,,,,,,,
ALLOW FOR,5-K,4614,1105,__,___,___,"Even if you allow for inflation, the price increase still seems exhorbitant.",,,,,,,
CATCH UP,5-K,4634,1095,___,___,–,I took extra classes just to catch up.,,,,,,,
A GO,5-K,4639,1093,___,___,–,Why don’t you have a go?,,,,,,,
FOR THE MOMENT,5-K,4649,1092,___,___,__,For the moment things seem stable.,,,,,,,
AT THE EXPENSE OF,5-K,4656,1086,__,___,___,They were laughing at the expense of the photo.,,,,,,,
PUT TOGETHER,5-K,4670,1082,___,___,__,He put together the proposal in a matter of days.,,,,,,,
THINGS LIKE THAT,5-K,4671,1082,___,__,–,"He does karate and things like that, you see.",,,,,,,
OF LITTLE,5-K,4682,1079,___,___,___,"It was of little relevance, really.",,,,,,,
SHUT UP,5-K,4683,1079,___,___,–,I just couldn’t shut up.,,,,,,,
AS OF,5-K,4703,1069,___,___,___,It was completed as of June.,,,,,,,
OVER TIME,5-K,4704,1069,___,___,___,It might change over time.,,,,,,,
WOULD APPEAR,5-K,4710,1068,___,___,___,"They people have spoken, it would appear.",,,,,,,
THE OTHER DAY,5-K,4711,1066,___,__,–,I thought of you the other day.,,,,,,,
IN THEORY,5-K,4712,1065,___,___,___,In theory that is why he went there.,,,,,,,
THOUGHT OF AS,5-K,4713,1065,___,___,___,Beaches are thought of as vacation spots.,,,,,,,
THOUGHT OF,5-K,4713,1065,___,___,___,Beaches are thought of as vacation spots.,,,,,,,
FOR GOOD,5-K,4721,1061,___,__,–,It’s gone for good.,,,,,,,
OPPOSED TO,5-K,4726,1059,__,___,___,He’s strangely opposed to gun control.,,,,,,,
COMMON SENSE,5-K,4749,1049,___,___,___,To me it’s common sense.,,,,,,,
BOTHER TO,5-K,4754,1046,___,___,–,He never bothered to reply.,,,,,,,
AS GOOD AS,5-K,4759,1043,___,___,__,It’s as good as gone.,,,,,,,
BACK UP,5-K,4761,1042,___,___,__,I have proof to back up my story.,,,,,,,
TAKE CARE OF,5-K,4791,1034,___,___,___,I’ll take care of this customer.,,,,,,,
THE SIGHT OF,5-K,4816,1024,__,___,–,I can’t stand the sight of it.,,,,,,,
GO ROUND,5-K,4819,1022,___,___,–,I’ll go round asking if anyone wants any more.,,,,,,,
THE WHOLE THING,5-K,4834,1015,___,__,–,Why don’t we just forget the whole thing?,,,,,,,
AT ONE TIME,5-K,4837,1014,___,___,___,At one time I thought that too.,,,,,,,
HEAD TO,5-K,4839,1014,___,___,–,"Meanwhile, he decided to head to the hospital. ",,,,,,,
IN A SENSE,5-K,4840,1014,___,___,___,The food was in a sense only part of the experience.,,,,,,,
ON AVERAGE,5-K,4841,1014,___,___,__,How much does he make on average?,,,,,,,
WAY ROUND,5-K,4846,1013,___,___,–,Do you know your way round?,,,,,,,
CAN TELL,5-K,4850,1011,___,__,–,You can tell from the markings.,,,,,,,
FREE FROM,5-K,4896,991,–,___,___,I dream of a life free from stress.,,,,,,,
AND ALL THAT,5-K,4901,989,___,–,–,I like art and all that.,,,,,,,
AS IT WERE,5-K,4909,985,___,___,_,The party was a smash as it were.,,,,,,,
WHAT IF,5-K,4915,984,___,__,_,What if we could fly?,,,,,,,
TOUCH OF,5-K,4917,982,___,___,–,There was a touch of sadness in her voice.,,,,,,,
BETTER OFF,5-K,4919,980,___,___,__,You’re better off without him.,,,,,,,
STAND FOR,5-K,4932,977,__,___,__,That symbol used to stand for something.,,,,,,,
TO BLAME,5-K,4944,973,___,___,___,"I think the government’s to blame, really.",,,,,,,
THE BULK OF,5-K,4950,968,___,___,___,The bulk of it was done by noon.,,,,,,,
A HANDFUL OF,5-K,4955,965,___,___,___,Only a handful of them were actually awake.,,,,,,,
AT THE OUTSET,5-K,4959,963,___,___,___,"It went well, but not at the outset.",,,,,,,
THE OUTSET,5-K,4959,963,___,___,___,"It went well, but not at the outset.",,,,,,,
BY VIRTUE OF,5-K,4991,954,___,___,___,She won by virtue of her superior intellect.,,,,,,,
TURN DOWN,5-K,5001,951,___,___,–,I won’t turn down such a great offer.,,,,,,,
GET ON (‘RELATE’),5-K,5010,944,___,__,–,My parent don’t really get on very well.,,,,,,,
UNDER WAY,5-K,5022,939,–,___,___,Changes are already under way.,,,,,,,
IN THE INTEREST OF,5-K,5025,938,__,___,___,They stopped in the interest of time.,,,,,,,
ON THE MARKET,5-K,5051,928,__,___,___,How long has it been on the market?,,,,,,,
BY FAR,5-K,5060,925,___,___,___,The rise in unemployment was by far the highest.,,,,,,,
A DEGREE OF,5-K,5072,921,_,___,___,There is a degree of irony in the story.,,,,,,,
NEVER MIND,5-K,5082,915,___,__,–,Never mind that it’s my birthday today.,,,,,,,
UP AND DOWN,5-K,5134,898,___,___,–,He was up and down the hall worrying about it.,,,,,,,
IN ONE’S OWN RIGHT,5-K,5156,891,___,___,___,Gesture is a form of expression in its own right.,,,,,,,
A CASE OF,5-K,5169,888,___,___,___,Now it’s just a case of getting them to subscribe.,,,,,,,
MORE SO,5-K,5171,887,___,___,___,"Boston is walkable, and San Francisco more so.",,,,,,,
COME UP TO,5-K,5193,881,___,___,–,Men always come up to me first.,,,,,,,
IN WHICH CASE,5-K,5216,872,___,___,___,"That means it’s midnight, in which case it’s closed.",,,,,,,
NO SIGN OF,5-K,5222,871,___,___,–,Still no sign of him?,,,,,,,
JUST AS (‘WHEN’),5-K,5231,869,___,___,–,I saw him just as he left.,,,,,,,
FOR THE SAKE OF,5-K,5244,865,___,___,__,He exaggerated his points for the sake of effect.,,,,,,,
IN A POSITION TO,5-K,5247,864,___,___,___,I’m not in a position to comment right now.,,,,,,,
TO COME (FUTURE),5-K,5255,862,___,___,___,We’ll see how things go in the weeks to come.,,,,,,,
BACKED BY,5-K,5285,850,–,___,–,The group is backed by the drug trade.,,,,,,,
AT BEST,5-K,5303,844,___,___,__,He’s at best average.,,,,,,,
WEALTH OF,5-K,5306,844,__,___,___,The library holds a wealth of knowledge.,,,,,,,
THAT SORT OF THING,5-K,5309,843,___,–,–,He drinks a lot and that sort of thing.,,,,,,,
MAKE OUT,5-K,5311,842,__,___,–,He could barely make out her signature.,,,,,,,
COME TO TERMS WITH,5-K,5323,839,__,___,__,They were finally able to come to terms with the change in weather.,,,,,,,
FOND OF,5-K,5348,831,___,___,–,"I’m not very fond of it, to be honest.",,,,,,,
WITH A VIEW TO,5-K,5354,829,___,___,___,It was written with a view to inspiring hope.,,,,,,,
TURN BACK,5-K,5361,827,__,___,__,There was no turning back now.,,,,,,,
GET AWAY WITH,5-K,5366,824,___,___,–,Somehow they managed to get away with it.,,,,,,,
NO WONDER,5-K,5384,820,___,___,–,No wonder he’s ranked first.,,,,,,,
WELL BEING,5-K,5438,809,___,___,__,It was good for their overall well being.,,,,,,,
HOW ABOUT,5-K,5447,805,___,__,–,How about tomorrow?,,,,,,,
TO GO (‘REMAINING’),5-K,5463,801,___,___,–,Two more to go.,,,,,,,
STRAIGHT AWAY,5-K,5479,794,___,___,__,They’ll get to it straight away.,,,,,,,
OWING TO,5-K,5485,793,___,___,___,"Owing to his honesty, he was held in high esteem.",,,,,,,
HOLD UP,5-K,5491,791,___,___,–,Sorry – we got held up on the M25.,,,,,,,
LOOK TO,5-K,5492,790,___,___,___,He constantly looked to us for advice and support.,,,,,,,
LAY OUT,5-K,5496,789,___,___,___,The countries laid out plans for a peace agreement.,,,,,,,
THE LOT,5-K,5497,789,___,__,–,"They tood the jewellery, the laptops, the lot.",,,,,,,
KEEP ON,5-K,5501,788,___,___,–,Freeways kept on being built.,,,,,,,
MAKE UP ONE’S MIND,5-K,5502,788,___,___,–,You’d better make up your mind.,,,,,,,
AT WORK,5-K,5503,787,–,___,___,There were strange forces at work.,,,,,,,
COME ABOUT,5-K,5504,787,___,___,__,It all came about through a meeting back in April.,,,,,,,
